Name,Type
Internat. J. Production Res. ,Journal
Inform. Software Tech. ,Journal
Sloan Management Rev. ,Journal
Proc. IEEE Internat. Conf. Systems ,Journal
Bus. Process Management J. ,Journal
IEE Colloquium ,Journal
Internat. J. Production Econom. ,Journal
"roc. First Internat. Conf. Inform. Systems, ",Journal
Internat. J. Production Res. ,Journal
Internat. J. Advanced Manufacturing Tech. ,Journal
Environmental Information Sci- ence ,Journal
Informing Sci. ,Journal
Internat. J. Oper. Production Management ,Journal
Biometrics ,Journal
Sociometry ,Journal
Journal of Business ,Journal
Psychiatry ,Journal
Psychometrica ,Journal
UKAIS  ,Journal
J. Inform. Tech. Theory Appl. ,Journal
Trans. Information Processing Society of Japan ,Journal
Eur. Conf. Inform. Systems ,Journal
Engrg. Costs Production Econom. ,Journal
Proc. 6th Internat. Conf. eXtreme Programming and Agile Processes ,Journal
Systems Practice ,Journal
Internat. J. Production Econom. ,Journal
J. Mech. Engrg. ,Journal
Internat. J. Production Econom. ,Journal
Internat. J. Logist: Res. Appl. ,Journal
California Management Rev. ,Journal
J. Indust. Management Data Systems ,Journal
Interfaces ,Journal
Lancet ,Journal
Group & Organization Management ,Journal
Internat. J. Production Econom. ,Journal
Acad. Management Rev. ,Journal
J. Automobile Engrg. ,Journal
Organizational learning ,Journal
Res. Policy ,Journal
Acta Astronaut. ,Journal
Proj Manage J ,Journal
EC-TEL ,Journal
cost engineering ,Journal
Internat. J. Production Res ,Journal
Singapore Management Rev. ,Journal
accounting organisations & society  ,Journal
Communications of the AIS ,Journal
Proceedings of 7th SEI Education in Software Engineering Conference ,Journal
Education in Software Engineering Conference ,Journal
Proceedings. NATO Conf. Scientific Affairs Division ,Journal
Proceeding of the UK Software Engineering Association Easter Workshop ,Journal
The 7th Internat. Workshop Organ. Semiotics ,Journal
Proc. EMMSAD'05: Tenth IFIP WG8.1 Internat. Workshop on Exploring Modeling Methods in Systems Anal. Design ,Journal
Journal of Defense Software Engineering ,Journal
Proceedings. NATO Conf. Scientific Affairs Division,Journal
