Authors,Title,Year,Source title,Link,Document Type,Source
"Palaniswamy R., Frank T.","Enhancing manufacturing performance with erp systems",2000,"Information Systems Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034195001&doi=10.1201%2f1078%2f43192.17.3.20000601%2f31240.7&partnerID=40&md5=124446a6cdce93b15b356011bfc379dd",Article,Scopus
"Comber A., Fisher P., Wadsworth R.","What is land cover?",2005,"Environment and Planning B: Planning and Design","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17744376057&doi=10.1068%2fb31135&partnerID=40&md5=9d9e2c02750431f1409b5ef522d48143",Article,Scopus
"Norris G., Hurley J.R., Hartley K.M., Dunleavy J.R., Balls J.D.",[No title available],2000,"E-Business and ERP: Transforming the Enterprise",,,Scopus
"Colombo M.G., Mosconi R.","Complementarity and cumulative learning effects in the early diffusion of multiple technologies",1995,"Journal of Industrial Economics",,,Scopus
"Coulon A.",[No title available],1995,"Ethnomethodology",,,Scopus
"Robey D.","Computer Information Systems and Organization Structure",1981,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019625353&doi=10.1145%2f358769.358786&partnerID=40&md5=ef1a9b4dd622c46758a7aba9fee908bb",Article,Scopus
"Miscione G.","Telemedicine in the upper Amazon: Interplay with local health care practices",2007,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249311315&doi=10.2307%2f25148797&partnerID=40&md5=8554af1d9184126a62850fa94d68daf6",Article,Scopus
"Chang A., Bordia P., Duck J.","Punctuated equilibrium and linear progression: Toward a new understanding of group development",2003,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037297725&doi=10.2307%2f30040680&partnerID=40&md5=a826de03733557cb23e9c0e109cddcc8",Article,Scopus
"Sprott D.","Componentizing the enterprise application packages",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001784070&doi=10.1145%2f332051.332074&partnerID=40&md5=fc13ce418cf244ff53dfa3c8ac228270",Article,Scopus
"Dasgupta S., Agarwal D., Ioannidis A., Gopalakrishnan S.","Determinants of information technology adoption: An extension of existing models to firms in a developing country",1999,"Journal of Global Information Management",,,Scopus
"Ganesh J., Kumar V., Subramaniam V.","Learning effect in multinational diffusion of consumer durables: An exploratory investigation",1997,"Journal of the Academy of Marketing Science",,,Scopus
"Nicholson B., Sahay S.","Embedded knowledge and offshore software development",2004,"Information and Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4644266906&doi=10.1016%2fj.infoandorg.2004.05.001&partnerID=40&md5=e52b0a4e139e0b1e58784e12889abbe1",Article,Scopus
"Chircu A.M., Kauffman R.J.","Reintermediation strategies in business-to-business electronic commerce",2000,"International Journal of Electronic Commerce","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013109635&doi=10.1080%2f10864415.2000.11518377&partnerID=40&md5=3d0e28b68d58f60b16919032bfcc4950",Article,Scopus
"Von Krogh G.","The communal resource and information systems",2002,"Journal of Strategic Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867923734&doi=10.1016%2fS0963-8687%2802%2900006-9&partnerID=40&md5=b9c7e2a5e8060ef1caad3e4daceb78a7",Article,Scopus
"Bowlin W.F., Charnes A., Cooper W.W., Sherman H.D.","Data envelopment analysis and regression approaches to efficiency estimation and evaluation",1984,"Annals of Operations Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250140276&doi=10.1007%2fBF01874735&partnerID=40&md5=8ad6ee4e870c3bd6cd354a0615441d96",Article,Scopus
"Walsham G., Waema T.","Information Systems Strategy and Implementation: A Case Study of a Building Society",1994,"ACM Transactions on Information Systems (TOIS)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028408489&doi=10.1145%2f196734.196744&partnerID=40&md5=e4100f53aab7f04d52822a8c72db824a",Article,Scopus
"Kimaro H.C., Nhampossa J.L.","Analyzing the problem of unsustainable health information systems in less-developed economies: Case studies from Tanzania and Mozambique",2005,"Information Technology for Development",,,Scopus
"Robey D., Azevedo A.","Cultural analysis of the organizational consequences of information technology",1994,"Accounting, Management and Information Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345968953&doi=10.1016%2f0959-8022%2894%2990011-6&partnerID=40&md5=e752bd79da80584a37f2079c61bf0709",Article,Scopus
"Rosenzweig Philip M.","When can management science research be generalized internationally?",1994,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028013874&doi=10.1287%2fmnsc.40.1.28&partnerID=40&md5=b2192db83dc6da1b692469862b89f4e4",Article,Scopus
"Peterson R.A., Mahajan V.","Multi-product growth models",1978,"Research in Marketing",,,Scopus
"Banerjee P., Chau P.Y.K.","An evaluative framework for analysing e-government convergence capability in developing countries",2004,"Electronic Government","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244450973&doi=10.1504%2fEG.2004.004135&partnerID=40&md5=8b32089d139154e504390e057fa6b9a8",Article,Scopus
"Jarvenpaa S.L., Ives B.","Organizing for Global Competition: The Fit of Information Technology",1993,"Decision Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990627036&doi=10.1111%2fj.1540-5915.1993.tb01293.x&partnerID=40&md5=f365eccb6a99472618f8aae3b0bbc31f",Article,Scopus
"Birdsall N., Nellis J.","Winners and losers: Assessing the distributional impact of privatization",2003,"World Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141650340&doi=10.1016%2fS0305-750X%2803%2900141-4&partnerID=40&md5=f23100ae810c5bffd51b44c5eb2eb244",Article,Scopus
"King S., Cotterill S.","Transformational Government? The role of information technology in delivering citizen-centric local public services",2007,"Local Government Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250616351&doi=10.1080%2f03003930701289430&partnerID=40&md5=03979e6b1041604159353f13b780ab94",Article,Scopus
"Kuutti K.","Activity theory and its applications to information systems research and development",1991,"Information Systems Research: Contemporary Approaches and Emergent Traditions",,,Scopus
"Williamson O.E.","Organizational innovation: The transaction cost approach",1983,"Entrepreneurship",,,Scopus
"Gutiérrez L.H.","The Effect of Endogenous Regulation on Telecommunications Expansion and Efficiency in Latin America",2003,"Journal of Regulatory Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642541118&doi=10.1023%2fA%3a1023412226826&partnerID=40&md5=f0fd60d97ad3eaed7de8985cb5e57ece",Article,Scopus
"Montealegre R.","A Temporal Model of Institutional Interventions for Information Technology Adoption in Less-Developed Countries",1999,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033277421&doi=10.1080%2f07421222.1999.11518240&partnerID=40&md5=0f03a802cf62e52e240d6fc13a19fcda",Article,Scopus
"Lederer A.L., Sethi V.","Critical Dimensions of Strategic Information Systems Planning",1991,"Decision Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985848382&doi=10.1111%2fj.1540-5915.1991.tb01265.x&partnerID=40&md5=8b3093272586abc3a163289deab0ba86",Article,Scopus
"Mumford E., Hirschheim R., Fitzgerald G., Wood-Harper T.",[No title available],1985,"Research Methods in Information Systems",,,Scopus
"Tamura R.","Human capital and the switch from agriculture to industry",2002,"Journal of Economic Dynamics and Control","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036887643&doi=10.1016%2fS0165-1889%2801%2900032-X&partnerID=40&md5=5c4d83bff7f6131964e414c333f87b58",Article,Scopus
"Shafer S.M., Byrd T.A.","A framework for measuring the efficiency of organizational investments in information technology using data envelopment analysis",2000,"Omega","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034165479&doi=10.1016%2fS0305-0483%2899%2900039-0&partnerID=40&md5=2d3e9ead54f0cd3482cd7a88e3cba5c1",Article,Scopus
"MacDonald C.J., Stodel E.J., Farres L.G., Breithaupt K., Gabriel M.A.","The demand-driven learning model A framework for Web-based learning",2001,"Internet and Higher Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942604558&doi=10.1016%2fS1096-7516%2801%2900045-8&partnerID=40&md5=19a0cb96a56c71764b598da7dacdc1d9",Article,Scopus
"Bui T.X., Sankaran S., Sebastian I.M.","A framework for measuring national e-readiness",2003,"International Journal of Electronic Business",,,Scopus
"Dos Santos B.L., Peffers K.","Competitor and vendor influence on the adoption of innovative applications in electronic commerce",1998,"Information and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002486569&doi=10.1016%2fS0378-7206%2898%2900053-6&partnerID=40&md5=6b98af18a22105b80f97ed1bec876cce",Article,Scopus
"Pohjola M.","Information technology and economic growth: A cross-country analysis",2001,"Information Technology and Economic Development",,,Scopus
"Kim N., Chang D.R., Shocker A.D.","Modeling intercategory and generational dynamics for a growing information technology industry",2000,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033727847&doi=10.1287%2fmnsc.46.4.496.12059&partnerID=40&md5=3bdc48f9681446d8a1d43ef13ba15560",Article,Scopus
"Kaplan D.","Statistical power in structural equation modeling",1995,"Structural Equation Modeling: Concepts, Issues, and Applications",,,Scopus
"Rauch J.E.","Bureaucracy, infrastructure, and economic growth: Evidence from U.S. cities during the progressive era",1995,"American Economic Review",,,Scopus
"Kraemer K.L., Dedrick J.","Payoffs from investment in information technology: Lessons from the Asia-Pacific region",1994,"World Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028551811&doi=10.1016%2f0305-750X%2894%2990183-X&partnerID=40&md5=262f57b62629efe09500460aef00e953",Article,Scopus
"Pohjola M.","The adoption and diffusion of ICT across countries: Patterns and determinants",2003,"The New Economy Handbook",,,Scopus
"Vergin R.C., Qoronfleh M.W.","Corporate reputation and the stock market",1998,"Business Horizons","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039402046&doi=10.1016%2fS0007-6813%2898%2990060-X&partnerID=40&md5=04afec6ee1724d33b192c6bf64470015",Article,Scopus
"Martínez Peláez S.",[No title available],1973,"La Patria del Criollo",,,Scopus
"Miller K.E.","The Effects of State Terrorism and Exile on Indigenous Guatemalan Refugee Children: A Mental Health Assessment and an Analysis of Children's Narratives",1996,"Child Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030075202&doi=10.1111%2fj.1467-8624.1996.tb01721.x&partnerID=40&md5=99ada35bf76ec7a425a8340a4594caef",Article,Scopus
"Earl M.J.",[No title available],1996,"Information Management: The Organizational Dimension",,,Scopus
"Gottschalk P.","Implementation predictors of strategic information systems plans",1999,"Information and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002672121&doi=10.1016%2fS0378-7206%2899%2900008-7&partnerID=40&md5=d44908843c7d7d67969d76c6cba81ad3",Article,Scopus
"Kumar V., Ganesh J., Echambadi R.","Cross-national diffusion research: what do we know and how certain are we?",1998,"Journal of Product Innovation Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032070271&doi=10.1016%2fS0737-6782%2897%2900082-9&partnerID=40&md5=8360143518a615fc3391b9000f083d4d",Article,Scopus
"Wozniak G.D.","The adoption of interrelated innovations: A human capital approach",1984,"Review of Economics and Statistics",,,Scopus
[No author name available],"An integrated industrial policy for the globalisation era: putting competitiveness and sustainability at centre stage",2010,"An Integrated Industrial Policy for the Globalisation Era Putting Competitiveness and Sustainability at Centre Stage",,,Scopus
"Silva L., Backhouse J.","The circuits-of-power framework for studying power in institutionalization of information systems",2003,"Journal of the Association for Information Systems",,,Scopus
[No author name available],"Integrated mission for sustainable development",1995,"Integrated Mission for Sustainable Development",,,Scopus
"Borges K.A.V., Davis C.A., Laender A.H.F.","OMT-G: An object-oriented data model for geographic applications",2001,"GeoInformatica","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035448134&doi=10.1023%2fA%3a1011482030093&partnerID=40&md5=77df2d39f19d0d9903895f93a7c55451",Article,Scopus
"Fan M., Stallaert J., Whinston A.B.","The adoption and design methodologies of component-based enterprise systems",2000,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044520750&doi=10.1057%2fpalgrave.ejis.3000343&partnerID=40&md5=fbd9cbed21adef43f4121199bd6acbeb",Article,Scopus
"Gutierrez L.H., Berg S.","Telecommunications liberalization and regulatory governance: Lessons from Latin America",2000,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034319932&doi=10.1016%2fS0308-5961%2800%2900069-0&partnerID=40&md5=7e3c5b05e78857a4f830dda320cfdf0d",Article,Scopus
"Gottschalk P.","Strategic information systems planning: The it strategy implementation matrix",1999,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22644451201&doi=10.1057%2fpalgrave.ejis.3000324&partnerID=40&md5=fd699aa0239f1a4a5a0eceda66d6e5c3",Article,Scopus
"Ngwenyama O., Andoh-Baidoo F.K., Bollou F., Morawczynski O.","Is there a relationship between ICT, health, education and development? An empirical analysis of five West African countries from 1997-2003",2006,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Bergeron F., Buteau C., Raymond L.","Identification of strategic information systems opportunities: Applying and comparing two methodologies",1991,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751171872&doi=10.2307%2f249439&partnerID=40&md5=1362f13001bc09674fa9d16c71145d18",Article,Scopus
"Puri S.K., Byrne E., Nhampossa J.L., Quraishi Z.B.","Contextuality of participation in is design: A developing country perspective",2004,"PDC 2004 - Proceedings of the Eight Participatory Design Conference 2004 - Artful Integration: Interweaving Media, Materials and Practices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644573434&partnerID=40&md5=bae6ebc5fa18a6bc5b780075cd288797",Conference Paper,Scopus
"Lall S.","Promoting Technology Development: The Role of Technology Transfer and Indigenous Effort",1993,"Third World Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027449771&doi=10.1080%2f01436599308420315&partnerID=40&md5=253963412fe4707f3464daec54543b8e",Article,Scopus
"Engeström Y.","Communication, discourse and activity",1999,"Communication Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012275947&doi=10.1080%2f10714429909368577&partnerID=40&md5=faacb539698021c5156a607db3d31975",Article,Scopus
"Arce A., Long N.","The dynamics of knowledge: Interfaces between bureaucrats and peasants",1992,"Battlefields of Knowledge: The Interlocking of Theory and Practice in Social Research and Development",,,Scopus
"Sculley A.B., Woods W.A.","B2B Exchanges: The Killer Application in the Business-to-Business Internet Revolution",2001,"B2B Exchanges: The Killer Application in the Business-to-Business Internet Revolution",,,Scopus
"Bødker S.","Understanding Representation in Design",1998,"Human-Computer Interaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031631910&doi=10.1207%2fs15327051hci1302_1&partnerID=40&md5=fcf368272816799fa667e845382d2af9",Article,Scopus
"Kraemer K.L., King J.L., Dunkle D.E., Lane J.P.",[No title available],1989,"Managing Information Systems: Change and Control in Organizational Computing",,,Scopus
"Borins S.","Innovations in Government",2008,"Innovations in Government: Research, Recognition, and Replication",,,Scopus
"Antonelli C.","The digital divide: Understanding the economics of new information and communication technology in the global economy",2003,"Information Economics and Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038270695&doi=10.1016%2fS0167-6245%2802%2900093-8&partnerID=40&md5=b0ce2e1255f4c53afba979d77402f40b",Article,Scopus
"Werthner H., Klein S.","ICT and the changing landscape of global tourism distribution",1999,"Electronic Markets",,,Scopus
"Lowi T.","Decision making vs. policy making: Toward an antidote for technocracy",1970,"Public Administration Review",,,Scopus
"Harindranath G., Dyerson R., Barnes D.","ICT Adoption and Use in UK SMEs: A Failure of Initiatives?",2008,"The Electronic Journal Information Systems Evaluation",,,Scopus
"Madon S.","Governance lessons from the experience of telecentres in Kerala",2005,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28244467512&doi=10.1057%2fpalgrave.ejis.3000576&partnerID=40&md5=3269c825bd451717d41f2724fc2a4314",Article,Scopus
"Straub D.W., Hoffman D.L., Weber B.W., Steinfield C.","Toward new metrics for Net-enhanced organizations",2002,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036740238&doi=10.1287%2fisre.13.3.227.80&partnerID=40&md5=7d464049c0627eb25bd79741a08a503b",Article,Scopus
"Scott J.",[No title available],1990,"A Matter of Record",,,Scopus
"Bogetoft P.","DEA-based yardstick competition: The optimality of best practice regulation",1997,"Annals of Operations Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031522710&doi=10.1023%2fa%3a1018985313272&partnerID=40&md5=6a7dfe37c24d962771fc1c9c2cc9803d",Article,Scopus
"Sandiford P., Annett H., Cibulskis R.","What can information systems do for primary health care? An international perspective",1992,"Social Science and Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026772212&doi=10.1016%2f0277-9536%2892%2990281-T&partnerID=40&md5=89cb2aed9c9591ec5f144b5970707e2a",Article,Scopus
"Sahay S., Avgerou C.","Introducing the special issue on information and communication technologies in developing countries",2002,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036521955&doi=10.1080%2f01972240290075002&partnerID=40&md5=766af2952c6a744988448887a01ad71e",Editorial,Scopus
"Korpela M., Mursu A., Soriyan H.A.","Information systems development as an activity",2002,"Computer Supported Cooperative Work","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036271322&doi=10.1023%2fA%3a1015252806306&partnerID=40&md5=69fc68b36258998df2afaf234b8ab0fc",Article,Scopus
"Bayes A.","Infrastructure and rural development: Insights from a Grameen Bank village phone initiative in Bangladesh",2001,"Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035173316&doi=10.1016%2fS0169-5150%2801%2900083-4&partnerID=40&md5=4d385318a11242672d1d5ad0940f6ba9",Conference Paper,Scopus
"Ashrafi R., Murtaza M.","Use and impact of ICT on SMEs in Oman",2008,"Electronic Journal Information Systems Evaluation",,,Scopus
"Aduwa-Ogiegbaen S.E., Iyamu E.O.S.","Using information and communication technology in secondary schools in Nigeria: Problems and prospects",2005,"Educational Technology and Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244451093&partnerID=40&md5=d9a9573273143aeccd26ac48ee104c9a",Review,Scopus
"Cronin F.J., Parker E.B., Colleran E.K., Gold M.A.","Telecommunications infrastructure investment and economic development",1993,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645673880&doi=10.1016%2f0308-5961%2893%2990013-S&partnerID=40&md5=e59c48e3687ccd75b06aa8274a0a2366",Article,Scopus
"Kneller R.","Frontier technology, absorptive capacity and distance",2005,"Oxford Bulletin of Economics and Statistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13444254227&doi=10.1111%2fj.1468-0084.2005.00107.x&partnerID=40&md5=f5d3e1c9cded78c81383e5d051b300b8",Article,Scopus
"Dubé L., Robey D.","Software stories: Three cultural perspectives on the organizational practices of software development",1999,"Accounting, Management and Information Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001487226&doi=10.1016%2fS0959-8022%2899%2900010-7&partnerID=40&md5=d0c629171c37a636b6eff0b5aa23ba64",Article,Scopus
"Hanseth O., Braa K.","Technology as traitor: Emergent sap infrastructure in a global organization",1998,"Proceedings of the International Conference on Information Systems, ICIS 1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865096422&partnerID=40&md5=867f021e9eb392f5cf1a31b5b02a17ab",Conference Paper,Scopus
"Günther O.",[No title available],1998,"Environmental Information Systems",,,Scopus
"Eckert C., Boujut J.-F.","Introduction: The role of objects in design co-operation: Communication through physical or virtual objects",2003,"Computer Supported Cooperative Work: CSCW: An International Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038129619&doi=10.1023%2fA%3a1023954726209&partnerID=40&md5=f4d3c5e1bf996b8ba60905a26011f49e",Editorial,Scopus
"Welty B., Becerra-Fernandez I.","Managing Trust and Commitment in Collaborative Supply Chain Relationships",2001,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002324613&doi=10.1145%2f376134.376170&partnerID=40&md5=36b7a715a411582e83a910ee7c8ea260",Article,Scopus
[No author name available],"Knowledge for development",1999,"Knowledge for Development",,,Scopus
"Kuutti Kari, Arvonen Tuula","Identifying potential CSCW applications by means of activity theory concepts: A case example",1992,"Proceedings of the Conference on Computer-Supported Cooperative Work","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026977874&partnerID=40&md5=adce4af3529ce9ce18cf4e9b879fddd4",Conference Paper,Scopus
"Desiraju R., Nair H., Chintagunta P.","Diffusion of new pharmaceutical drugs in developing and developed nations",2004,"International Journal of Research in Marketing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444287537&doi=10.1016%2fj.ijresmar.2004.05.001&partnerID=40&md5=a61e2604744e9333c58022b4d31065be",Article,Scopus
"Cliffe S.","ERP implementation",1999,"Harvard Business Review",,,Scopus
"Bayus B.L.","Forecasting sales of new contingent products: An application to the compact disc market",1987,"The Journal of Product Innovation Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001202221&doi=10.1016%2f0737-6782%2887%2990028-2&partnerID=40&md5=d22497dce35248d8c47a32afde28df7c",Article,Scopus
"Mitra S.K.",[No title available],1992,"Power, Protest and Participation: Local Elites and the Politics of Development in India",,,Scopus
"Von Lubitz D., Wickramasinghe N.","Healthcare and technology: The doctrine of networkcentric healthcare",2006,"International Journal of Electronic Healthcare","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748250935&doi=10.1504%2fijeh.2006.010440&partnerID=40&md5=7a068ee818429ce13f7f8f0aa1db76c0",Review,Scopus
"Noir C., Walsham G.","The great legitimizer: ICT as myth and ceremony in the Indian healthcare sector",2007,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36448972351&doi=10.1108%2f09593840710839770&partnerID=40&md5=d8c4823cf7a636511daf35fa0404b750",Article,Scopus
"Cho S., Mathiassen L., Robey D.","Dialectics of resilience: A multi-level analysis of a telehealth innovation",2007,"Journal of Information Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847756001&doi=10.1057%2fpalgrave.jit.2000088&partnerID=40&md5=e0b1afa2f8f63dd6a3cae4f72b547909",Article,Scopus
"Beynon-Davies P., Martin S.","Electronic local government and the modernisation agenda: Progress and prospects for public service improvement",2004,"Local Government Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-8644265889&doi=10.1080%2f0300303042000267245&partnerID=40&md5=d7c589bbeff647955fc1a4cfb8a82542",Article,Scopus
"Clift S.","E-Democracy, E-Governance and Public Net-Work",2003,"E-Democracy, E-Governance and Public Net-Work",,,Scopus
"Hardon A.",[No title available],2001,"Applied Health Research: Anthropology of Health and Health Care",,,Scopus
"Sahay S., Walsham G.","Scaling of health information systems in India: Challenges and approaches",2006,"Information Technology for Development",,,Scopus
"Kumar R., Best M.","Social impact and diffusion of telecenter use: A study from the sustainable access in rural India project",2006,"Journal of Community Informatics",,,Scopus
"Myers M.D., Avison D.","An introduction to qualitative research in information systems",2002,"Qualitative Research in Information Systems: A Reader",,,Scopus
"Iivari J., Lyytinen K.","Research on information systems development in Scandinavia - unity in plurality",1998,"Scandinavian Journal of Information Systems",,,Scopus
"Avgerou C.","Recognising alternative rationalities in the deployment of information systems",2000,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Bloomfield B.P., Vurdubakis T.","Re-Presenting technology: It consultancy reports as textual reality constructions",1994,"Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965771748&doi=10.1177%2f0038038594028002006&partnerID=40&md5=f0198d8efe274baa38c06cf4d2fcb239",Article,Scopus
"Kanungo S.","On the emancipatory role of rural information systems",2004,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986146070&doi=10.1108%2f09593840410570267&partnerID=40&md5=a4a3b11e104fd94972a82765321ddb37",Article,Scopus
"Groseschl S., Doherty L.","Conceptualising culture",2000,"Cross Cultural Management: An International Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993099363&doi=10.1108%2f13527600010797138&partnerID=40&md5=d225cbbb74db8635bd5761a08256d5e9",Article,Scopus
"Mursu Á., Luukkonen I., Toivanen M., Korpela M.","Activity Theory in information systems research and practice: Theoretical underpinnings for an information systems development model",2007,"Information Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247538369&partnerID=40&md5=759909f9e38d9e13a60092439881407d",Article,Scopus
"Schware R., Deane A.","Deploying e-government programs: The strategic importance of ""I"" before ""E""",2003,"Info","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11044235357&doi=10.1108%2f14636690310495193&partnerID=40&md5=9d1aa25276d7968a91c7a8942db6e38d",Article,Scopus
"Korpela M., Soriyan H.A., Olufokunbi K.C.","Activity analysis as a method for information systems development: General introduction and experiments from Nigeria and Finland",2000,"Scandinavian Journal of Information Systems",,,Scopus
"Weick K.E.","Theoretical assumptions and research methodology selection",1984,"The Information Systems Research Challenge",,,Scopus
"Pohjola M.","The New Economy in growth and development",2002,"Oxford Review of Economic Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036758567&doi=10.1093%2foxrep%2f18.3.380&partnerID=40&md5=052158b48c7d57f8d3e0ee3bed4ffe9a",Article,Scopus
"Silva L., Eugenio F.B.","Institutional intervention and the expansion of ICTs in Latin America:The case of Chile",2002,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986015041&doi=10.1108%2f09593840210421499&partnerID=40&md5=f53e74f8441f1de36c6035c01d752b58",Article,Scopus
"Johnston R.B., Mak H.C.","An emerging vision of internet-enabled supply-chain electronic commerce",2000,"International Journal of Electronic Commerce","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011931970&doi=10.1080%2f10864415.2000.11518378&partnerID=40&md5=75a72a53dec091a6f27830e3a630c784",Article,Scopus
"Ein-Dor P., Myers M.D., Raman K.S.","Information technology in three small developed countries",1997,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031288357&doi=10.1080%2f07421222.1997.11518143&partnerID=40&md5=76fd3109d97c70bc28afc2c705a14300",Article,Scopus
"Aunger R.","On ethnography: Storytelling or science?",1995,"Current Anthropology",,,Scopus
"Martinsons M.G., Hempel P.S.","Chinese Business Process Re-engineering",1998,"International Journal of Information Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032304545&doi=10.1016%2fS0268-4012%2898%2900031-0&partnerID=40&md5=7361333e34aa29f85724a87b1fe3f3c6",Article,Scopus
"Dholakia R.R., Harlam B.","Telecommunications and economic development. Econometric analysis of the US experience",1994,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028480882&doi=10.1016%2f0308-5961%2894%2990015-9&partnerID=40&md5=4b79e343e021fa2ee56d24920fd1d961",Article,Scopus
"Ciborra C.U.","From thinking to tinkering: The grassroots of strategic information systems",1991,"Proceedings of the Twelfth International Conference on Information Systems",,,Scopus
"Chhotray V.","The negation of politics in participatory development projects, Kurnool, Andhra Pradesh",2004,"Development and Change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2142809773&doi=10.1111%2fj.1467-7660.2004.00354.x&partnerID=40&md5=84858a257e6a72e7c05ba50ef1beba71",Article,Scopus
[No author name available],[No title available],1994,"Guidelines for Watershed Development",,,Scopus
"Godoy A.S.","Lynchings and the democratization of terror in postwar Guatemala: Implications for human rights",2002,"Human Rights Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036688389&doi=10.1353%2fhrq.2002.0035&partnerID=40&md5=79b582cdc952716f18b13226d020a261",Article,Scopus
"Barrett M., Sahay S., Walsham G.","Information technology and social transformation: GIS for forestry management in India",2001,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035530433&doi=10.1080%2f019722401750067397&partnerID=40&md5=2ee0807100e5101ee95be82b4f84e798",Article,Scopus
